PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
0.5698514377780179,0.43434107233952063,-0.2918650100299751,0.010237627110391452,-0.1557054611176787,-0.48033744192167216,-0.3539114537361647,-0.02392201064913632,0.09647421488615743,0.07749081703852,-0.09107852253588665,0.03117903715172512,-0.4905622406847708
-0.7698008333172823,-0.683687133911088,-0.22298404704532213,-0.11963380511080338,-0.11983250579277079,-0.08329256068001431,0.10052266039828703,0.007291730421545003,0.03566241599751708,-0.06583074935743746,-0.01211404282538027,-0.026703850218375836,-0.0031268110572254424
-0.3456165862295102,0.12481094163716032,0.4260238179376275,-0.024656335643222525,1.3745991125172048,-0.19475467458735654,-0.25521990749477397,0.22326102174020873,-0.24815450210996504,0.23074875674546794,-0.08361706570323119,0.12081885208595203,0.11501827820710814
-0.7038328730820781,0.47286437073769,-0.20127891551028781,0.46857716048679204,0.09926647039932997,-0.5849344330532371,0.3489195135579005,-0.2908786287735856,-0.02488394846209651,0.06849673718262882,0.23570916407317105,0.08500941095473015,-0.7388112140004001
-0.7684990068460589,-0.6840566667455628,-0.23371073068505482,-0.12059937959648526,-0.1022661040187415,-0.06292573255248027,0.09221546696696871,-0.000393705158841807,0.02877464303482889,-0.03902773762405791,-0.012002896215215844,-0.025808209186611992,-0.0005904182876390354
-0.1617950731224077,0.5876471660213445,0.40785671234375076,0.5861852487078332,-0.23042669698087426,0.37668742100993863,-0.2842386919905785,0.17712930380910422,0.3222257839408647,0.03485811497905907,-0.24058640017861432,0.05884929369820191,-0.38489992243061893
-0.4946748262013825,0.01919012830077878,0.31652527531454167,-0.12468708520187277,1.35631119074812,-0.16600411462619177,-0.29943911141917023,0.09818897323596643,-0.27760065161400166,0.19812948391726584,0.06268126674802219,0.024358572700165934,-0.02177796710569615
0.009635224452169959,-0.0018197787555040905,0.10206659139306963,0.6160719717791744,0.29472712311875765,0.060243853262752174,0.7206750295973565,-0.2281772587844245,0.17737875794505595,-0.012045336588260276,-0.05527166889603896,0.1569886467324983,-0.01510300344307507
-0.6454003015510493,-0.7581240673617059,-0.31998731301898714,-0.012097950505768965,-0.11731185770982093,0.14110454446957257,0.09915579000154273,-0.005049105699269316,0.1349020150982278,-0.08751349610396389,-0.05283541665106546,-0.045177004438894726,-0.00430260495682181
-0.9257737006257881,-0.5918371702281416,-0.10810442425219857,-0.24877358231223898,-0.12154482487075753,-0.3504262351758397,0.10234966466977592,0.014103346740955718,-0.07827705652805772,-0.04191375683311445,0.033617384505801144,-0.00459050293902265,0.0008843433114917874
