PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
0.5070811350098612,0.007102366696707575,-0.14864292288423658,-0.2860116036729595,0.0033302364328810946,0.45530552138807195,0.04985998822018818,-0.19732767268874962,0.015671216368900082,0.05700445569730764,-0.020288993369135325,-0.07807450360776216
-0.32038015403803116,-0.7011855895015403,0.446968749985203,0.09111999756119951,0.051643443569915466,-0.3795984394996534,-0.033144165699947964,0.059757119563418615,0.1670594286351919,0.2047722411118321,-0.0044877538837482306,-0.1259844283816044
-0.5404731853236426,-0.7520759771755603,0.4972950205272552,-0.0316356500152172,-0.062464876238129505,-0.285180983358631,-0.15091389412613923,-0.10750931146468742,-0.12985143704536625,0.08751166843365307,-0.07543783948455747,0.0014721375956944101
-0.6365631909191253,-0.7194584302053184,0.4189144145029553,-0.0874702536799767,-0.07749310108079312,-0.15174741289127788,-0.13679460749770414,-0.07321332111624777,-0.1047555759599528,0.07337289995646783,-0.059502627233418946,-0.007481467490910434
-0.4681645141866444,-0.7649516459760822,0.5549121440476659,-0.017191147064599396,0.026023618263737194,-0.36724977798591774,-0.04980160090456503,-0.0449254876817899,0.06171086487823613,0.04659019891243018,-0.11882201151981425,0.037845275837680076
-0.6817316253124873,-0.6971266004190289,0.3750481416872742,-0.12729566066068446,-0.09199154761690091,-0.0731000913945848,-0.12704025358547127,-0.04112670541166614,-0.08682807476761892,0.052048375263188444,-0.04029035681473309,-0.00644591362180671
-0.900359536420226,-0.5910476393362474,0.17029490970940372,-0.3104742718254138,-0.15539508515319722,0.2935814097768282,-0.08507111969760661,0.1039126875744427,-0.007394257018710258,-0.04444052487809437,0.01969820871952964,-0.0013328177673140812
-0.4153278689680039,-0.7501236593473265,0.5543792002728214,-0.04071476759470433,-0.08572418146782258,-0.3574032791865943,-0.1538131008095223,-0.04120817400007156,-0.1293858536801051,0.013680363021283141,-0.08475851149111148,0.055937193934047835
-0.9228776885412013,-0.5869401785472931,0.17063490019812763,-0.3135015075688581,-0.10839863097102957,0.29582406604207057,-0.03552175426879613,0.11385291276935562,0.0874904812895595,-0.04986956527643681,0.004326669117627338,-0.0028014250668875543
-0.9177726873238694,-0.5814498266110429,0.16324052186914143,-0.3205215060902255,-0.15675618777287623,0.3079526382023682,-0.08565468233857954,0.10007301309457599,-0.0055499970326756305,-0.050738223021743814,0.023161800523682868,-0.0047761358985937636
